RMODE NFREQ       PERIOD(S)     FREQUENCY(Hz)           C(KM/S)
    0     1   0.2500000000        4.000000000        3.171006976    
    0     2   0.2519685039        3.968750000        3.171006976    
    0     3   0.2539682540        3.937500000        3.171006976    
    0     4   0.2560000000        3.906250000        3.171006976    
    0     5   0.2580645161        3.875000000        3.171006976    
    0     6   0.2601626016        3.843750000        3.171006976    
    0     7   0.2622950820        3.812500000        3.171006976    
    0     8   0.2644628099        3.781250000        3.171006976    
    0     9   0.2666666667        3.750000000        3.171006976    
    0    10   0.2689075630        3.718750000        3.171006976    
    0    11   0.2711864407        3.687500000        3.171006976    
    0    12   0.2735042735        3.656250000        3.171006976    
    0    13   0.2758620690        3.625000000        3.171006976    
    0    14   0.2782608696        3.593750000        3.171006976    
    0    15   0.2807017544        3.562500000        3.171006976    
    0    16   0.2831858407        3.531250000        3.171006976    
    0    17   0.2857142857        3.500000000        3.171006976    
    0    18   0.2882882883        3.468750000        3.171006976    
    0    19   0.2909090909        3.437500000        3.171006976    
    0    20   0.2935779817        3.406250000        3.171006976    
    0    21   0.2962962963        3.375000000        3.171006976    
    0    22   0.2990654206        3.343750000        3.171006976    
    0    23   0.3018867925        3.312500000        3.171006976    
    0    24   0.3047619048        3.281250000        3.171006976    
    0    25   0.3076923077        3.250000000        3.171006976    
    0    26   0.3106796117        3.218750000        3.171006976    
    0    27   0.3137254902        3.187500000        3.171006976    
    0    28   0.3168316832        3.156250000        3.171006976    
    0    29   0.3200000000        3.125000000        3.171006976    
    0    30   0.3232323232        3.093750000        3.171006976    
    0    31   0.3265306122        3.062500000        3.171006976    
    0    32   0.3298969072        3.031250000        3.171006976    
    0    33   0.3333333333        3.000000000        3.171006976    
    0    34   0.3368421053        2.968750000        3.171006976    
    0    35   0.3404255319        2.937500000        3.171006976    
    0    36   0.3440860215        2.906250000        3.171006976    
    0    37   0.3478260870        2.875000000        3.171006976    
    0    38   0.3516483516        2.843750000        3.171006976    
    0    39   0.3555555556        2.812500000        3.171006976    
    0    40   0.3595505618        2.781250000        3.171006976    
    0    41   0.3636363636        2.750000000        3.171006976    
    0    42   0.3678160920        2.718750000        3.171006976    
    0    43   0.3720930233        2.687500000        3.171006976    
    0    44   0.3764705882        2.656250000        3.171006976    
    0    45   0.3809523810        2.625000000        3.171006976    
    0    46   0.3855421687        2.593750000        3.171006976    
    0    47   0.3902439024        2.562500000        3.171006976    
    0    48   0.3950617284        2.531250000        3.171006976    
    0    49   0.4000000000        2.500000000        3.171006976    
    0    50   0.4050632911        2.468750000        3.171006976    
    0    51   0.4102564103        2.437500000        3.171006976    
    0    52   0.4155844156        2.406250000        3.171006976    
    0    53   0.4210526316        2.375000000        3.171006976    
    0    54   0.4266666667        2.343750000        3.171006976    
    0    55   0.4324324324        2.312500000        3.171006976    
    0    56   0.4383561644        2.281250000        3.171006976    
    0    57   0.4444444444        2.250000000        3.171006976    
    0    58   0.4507042254        2.218750000        3.171006976    
    0    59   0.4571428571        2.187500000        3.171006976    
    0    60   0.4637681159        2.156250000        3.171006976    
    0    61   0.4705882353        2.125000000        3.171006976    
    0    62   0.4776119403        2.093750000        3.171006976    
    0    63   0.4848484848        2.062500000        3.171006976    
    0    64   0.4923076923        2.031250000        3.171006976    
    0    65   0.5000000000        2.000000000        3.171006976    
    0    66   0.5079365079        1.968750000        3.171006976    
    0    67   0.5161290323        1.937500000        3.171006976    
    0    68   0.5245901639        1.906250000        3.171006976    
    0    69   0.5333333333        1.875000000        3.171006976    
    0    70   0.5423728814        1.843750000        3.171006976    
    0    71   0.5517241379        1.812500000        3.171006976    
    0    72   0.5614035088        1.781250000        3.171006976    
    0    73   0.5714285714        1.750000000        3.171006976    
    0    74   0.5818181818        1.718750000        3.171006976    
    0    75   0.5925925926        1.687500000        3.171006976    
    0    76   0.6037735849        1.656250000        3.171006976    
    0    77   0.6153846154        1.625000000        3.171006976    
    0    78   0.6274509804        1.593750000        3.171006976    
    0    79   0.6400000000        1.562500000        3.171006976    
    0    80   0.6530612245        1.531250000        3.171006976    
    0    81   0.6666666667        1.500000000        3.171006976    
    0    82   0.6808510638        1.468750000        3.171006976    
    0    83   0.6956521739        1.437500000        3.171006976    
    0    84   0.7111111111        1.406250000        3.171006976    
    0    85   0.7272727273        1.375000000        3.171006976    
    0    86   0.7441860465        1.343750000        3.171006976    
    0    87   0.7619047619        1.312500000        3.171006976    
    0    88   0.7804878049        1.281250000        3.171006976    
    0    89   0.8000000000        1.250000000        3.171006976    
    0    90   0.8205128205        1.218750000        3.171006976    
    0    91   0.8421052632        1.187500000        3.171006976    
    0    92   0.8648648649        1.156250000        3.171006976    
    0    93   0.8888888889        1.125000000        3.171006976    
    0    94   0.9142857143        1.093750000        3.171006976    
    0    95   0.9411764706        1.062500000        3.171006976    
    0    96   0.9696969697        1.031250000        3.171006976    
    0    97    1.000000000        1.000000000        3.171006976    
    0    98    1.032258065       0.9687500000        3.171006976    
    0    99    1.066666667       0.9375000000        3.171006976    
    0   100    1.103448276       0.9062500000        3.171006976    
    0   101    1.142857143       0.8750000000        3.171006976    
    0   102    1.185185185       0.8437500000        3.171006976    
    0   103    1.230769231       0.8125000000        3.171006976    
    0   104    1.280000000       0.7812500000        3.171006976    
    0   105    1.333333333       0.7500000000        3.171006976    
    0   106    1.391304348       0.7187500000        3.171006976    
    0   107    1.454545455       0.6875000000        3.171006976    
    0   108    1.523809524       0.6562500000        3.171006977    
    0   109    1.600000000       0.6250000000        3.171006979    
    0   110    1.684210526       0.5937500000        3.171006985    
    0   111    1.777777778       0.5625000000        3.171007000    
    0   112    1.882352941       0.5312500000        3.171007042    
    0   113    2.000000000       0.5000000000        3.171007155    
    0   114    2.133333333       0.4687500000        3.171007463    
    0   115    2.285714286       0.4375000000        3.171008302    
    0   116    2.461538462       0.4062500000        3.171010580    
    0   117    2.666666667       0.3750000000        3.171016771    
    0   118    2.909090909       0.3437500000        3.171033578    
    0   119    3.200000000       0.3125000000        3.171079163    
    0   120    3.555555556       0.2812500000        3.171202614    
    0   121    4.000000000       0.2500000000        3.171536358    
    0   122    4.571428571       0.2187500000        3.172437251    
    0   123    5.333333333       0.1875000000        3.174869654    
    0   124    6.400000000       0.1562500000        3.181472803    
    0   125    8.000000000       0.1250000000        3.199723685    
    0   126    10.66666667       0.9375000000E-01    3.252672392    
    0   127    16.00000000       0.6250000000E-01    3.424328798    
    0   128    32.00000000       0.3125000000E-01    3.865471047    
    0   129    3200.000072       0.3124999930E-03    4.321514767    
