


                  RAYLEIGH WAVE      MODE #  0

                           FREQ          PHASE VEL
                 1    4.0000000000     3.1710069757
                 2    3.9687500000     3.1710069755
                 3    3.9375000000     3.1710069756
                 4    3.9062500000     3.1710069756
                 5    3.8750000000     3.1710069756
                 6    3.8437500000     3.1710069756
                 7    3.8125000000     3.1710069756
                 8    3.7812500000     3.1710069756
                 9    3.7500000000     3.1710069756
                10    3.7187500000     3.1710069756
                11    3.6875000000     3.1710069756
                12    3.6562500000     3.1710069756
                13    3.6250000000     3.1710069756
                14    3.5937500000     3.1710069756
                15    3.5625000000     3.1710069756
                16    3.5312500000     3.1710069756
                17    3.5000000000     3.1710069756
                18    3.4687500000     3.1710069756
                19    3.4375000000     3.1710069756
                20    3.4062500000     3.1710069756
                21    3.3750000000     3.1710069756
                22    3.3437500000     3.1710069756
                23    3.3125000000     3.1710069756
                24    3.2812500000     3.1710069756
                25    3.2500000000     3.1710069756
                26    3.2187500000     3.1710069756
                27    3.1875000000     3.1710069756
                28    3.1562500000     3.1710069756
                29    3.1250000000     3.1710069756
                30    3.0937500000     3.1710069756
                31    3.0625000000     3.1710069756
                32    3.0312500000     3.1710069756
                33    3.0000000000     3.1710069756
                34    2.9687500000     3.1710069756
                35    2.9375000000     3.1710069756
                36    2.9062500000     3.1710069756
                37    2.8750000000     3.1710069756
                38    2.8437500000     3.1710069756
                39    2.8125000000     3.1710069756
                40    2.7812500000     3.1710069756
                41    2.7500000000     3.1710069756
                42    2.7187500000     3.1710069756
                43    2.6875000000     3.1710069756
                44    2.6562500000     3.1710069756
                45    2.6250000000     3.1710069756
                46    2.5937500000     3.1710069756
                47    2.5625000000     3.1710069756
                48    2.5312500000     3.1710069756
                49    2.5000000000     3.1710069756
                50    2.4687500000     3.1710069756
                51    2.4375000000     3.1710069756
                52    2.4062500000     3.1710069756
                53    2.3750000000     3.1710069756
                54    2.3437500000     3.1710069756
                55    2.3125000000     3.1710069756
                56    2.2812500000     3.1710069756
                57    2.2500000000     3.1710069756
                58    2.2187500000     3.1710069756
                59    2.1875000000     3.1710069756
                60    2.1562500000     3.1710069756
                61    2.1250000000     3.1710069756
                62    2.0937500000     3.1710069756
                63    2.0625000000     3.1710069756
                64    2.0312500000     3.1710069756
                65    2.0000000000     3.1710069756
                66    1.9687500000     3.1710069756
                67    1.9375000000     3.1710069756
                68    1.9062500000     3.1710069756
                69    1.8750000000     3.1710069756
                70    1.8437500000     3.1710069756
                71    1.8125000000     3.1710069756
                72    1.7812500000     3.1710069756
                73    1.7500000000     3.1710069756
                74    1.7187500000     3.1710069756
                75    1.6875000000     3.1710069756
                76    1.6562500000     3.1710069756
                77    1.6250000000     3.1710069756
                78    1.5937500000     3.1710069756
                79    1.5625000000     3.1710069756
                80    1.5312500000     3.1710069756
                81    1.5000000000     3.1710069756
                82    1.4687500000     3.1710069756
                83    1.4375000000     3.1710069756
                84    1.4062500000     3.1710069756
                85    1.3750000000     3.1710069756
                86    1.3437500000     3.1710069756
                87    1.3125000000     3.1710069756
                88    1.2812500000     3.1710069756
                89    1.2500000000     3.1710069756
                90    1.2187500000     3.1710069756
                91    1.1875000000     3.1710069756
                92    1.1562500000     3.1710069756
                93    1.1250000000     3.1710069756
                94    1.0937500000     3.1710069756
                95    1.0625000000     3.1710069756
                96    1.0312500000     3.1710069756
                97    1.0000000000     3.1710069756
                98    0.9687500000     3.1710069756
                99    0.9375000000     3.1710069756
               100    0.9062500000     3.1710069757
               101    0.8750000000     3.1710069756
               102    0.8437500000     3.1710069756
               103    0.8125000000     3.1710069756
               104    0.7812500000     3.1710069756
               105    0.7500000000     3.1710069757
               106    0.7187500000     3.1710069758
               107    0.6875000000     3.1710069760
               108    0.6562500000     3.1710069768
               109    0.6250000000     3.1710069789
               110    0.5937500000     3.1710069846
               111    0.5625000000     3.1710069998
               112    0.5312500000     3.1710070415
               113    0.5000000000     3.1710071549
               114    0.4687500000     3.1710074632
               115    0.4375000000     3.1710083015
               116    0.4062500000     3.1710105801
               117    0.3750000000     3.1710167707
               118    0.3437500000     3.1710335783
               119    0.3125000000     3.1710791627
               120    0.2812500000     3.1712026143
               121    0.2500000000     3.1715363584
               122    0.2187500000     3.1724372510
               123    0.1875000000     3.1748696542
               124    0.1562500000     3.1814728028
               125    0.1250000000     3.1997236850
               126    0.0937500000     3.2526723925
               127    0.0625000000     3.4243287978
               128    0.0312500000     3.8654710475
               129    0.0003125000     4.3215147674
