  
 Model:
  LAYER     H(km)     Vp(km/s)     Vs(km/s)  Density     QA(inv)     QB(inv)
    1     2.00000     5.80000     3.46000     2.72000     0.00000     0.00000
    2     2.00000     5.80000     3.46000     2.72000     0.00000     0.00000
    3     2.00000     5.80000     3.46000     2.72000     0.00000     0.00000
    4     2.00000     5.80000     3.46000     2.72000     0.00000     0.00000
    5     2.00000     5.80000     3.46000     2.72000     0.00000     0.00000
    6     2.00000     5.80000     3.46000     2.72000     0.00000     0.00000
    7     2.00000     5.80000     3.46000     2.72000     0.00000     0.00000
    8     2.00000     5.80000     3.46000     2.72000     0.00000     0.00000
    9     2.00000     5.80000     3.46000     2.72000     0.00000     0.00000
   10     2.00000     5.80000     3.46000     2.72000     0.00000     0.00000
   11     2.00000     6.15000     3.65500     2.82000     0.00000     0.00000
   12     2.00000     6.50000     3.85000     2.92000     0.00000     0.00000
   13     2.00000     6.50000     3.85000     2.92000     0.00000     0.00000
   14     2.00000     6.50000     3.85000     2.92000     0.00000     0.00000
   15     2.00000     6.50000     3.85000     2.92000     0.00000     0.00000
   16     2.00000     6.50000     3.85000     2.92000     0.00000     0.00000
   17     2.00000     6.50000     3.85000     2.92000     0.00000     0.00000
   18     2.00000     7.27125     4.16750     3.12630     0.00000     0.00000
   19     2.00000     8.04250     4.48500     3.33260     0.00000     0.00000
   20     2.00000     8.04250     4.48500     3.33260     0.00000     0.00000
   21     2.00000     8.04250     4.48500     3.33260     0.00000     0.00000
   22     2.00000     8.04250     4.48500     3.33260     0.00000     0.00000
   23     2.00000     8.04250     4.48500     3.33260     0.00000     0.00000
   24     2.00000     8.04250     4.48500     3.33260     0.00000     0.00000
   25     2.00000     8.04250     4.48500     3.33260     0.00000     0.00000
   26     2.00000     8.04250     4.48500     3.33260     0.00000     0.00000
   27     2.00000     8.04250     4.48500     3.33260     0.00000     0.00000
   28     2.00000     8.04250     4.48500     3.33260     0.00000     0.00000
   29     2.00000     8.04250     4.48500     3.33260     0.00000     0.00000
   30     2.00000     8.04250     4.48500     3.33260     0.00000     0.00000
   31     2.00000     8.04250     4.48500     3.33260     0.00000     0.00000
   32     2.00000     8.04250     4.48500     3.33260     0.00000     0.00000
   33     2.00000     8.04250     4.48500     3.33260     0.00000     0.00000
   34     2.00000     8.04250     4.48500     3.33260     0.00000     0.00000
   35     2.00000     8.04250     4.48500     3.33260     0.00000     0.00000
   36     2.00000     8.04250     4.48500     3.33260     0.00000     0.00000
   37     2.00000     8.04250     4.48500     3.33260     0.00000     0.00000
   38     2.00000     8.04250     4.48500     3.33260     0.00000     0.00000
   39     2.00000     8.04500     4.49000     3.34550     0.00000     0.00000
   40     2.00000     8.04750     4.49500     3.35840     0.00000     0.00000
   41     2.00000     8.04750     4.49500     3.35840     0.00000     0.00000
   42     2.00000     8.04750     4.49500     3.35840     0.00000     0.00000
   43     2.00000     8.04750     4.49500     3.35840     0.00000     0.00000
   44     2.00000     8.04750     4.49500     3.35840     0.00000     0.00000
   45     2.00000     8.04750     4.49500     3.35840     0.00000     0.00000
   46     2.00000     8.04750     4.49500     3.35840     0.00000     0.00000
   47     2.00000     8.04750     4.49500     3.35840     0.00000     0.00000
   48     2.00000     8.04750     4.49500     3.35840     0.00000     0.00000
   49     2.00000     8.04750     4.49500     3.35840     0.00000     0.00000
   50     2.00000     8.04750     4.49500     3.35840     0.00000     0.00000
   51     2.00000     8.04750     4.49500     3.35840     0.00000     0.00000
   52     2.00000     8.04750     4.49500     3.35840     0.00000     0.00000
   53     2.00000     8.04750     4.49500     3.35840     0.00000     0.00000
   54     2.00000     8.04750     4.49500     3.35840     0.00000     0.00000
   55     2.00000     8.04750     4.49500     3.35840     0.00000     0.00000
   56     2.00000     8.04750     4.49500     3.35840     0.00000     0.00000
   57     2.00000     8.04750     4.49500     3.35840     0.00000     0.00000
   58     2.00000     8.04750     4.49500     3.35840     0.00000     0.00000
   59     2.00000     8.04750     4.49500     3.35840     0.00000     0.00000
   60     2.00000     8.04750     4.49500     3.35840     0.00000     0.00000
   61     2.00000     8.07990     4.49975     3.37870     0.00000     0.00000
   62     2.00000     8.11230     4.50450     3.39900     0.00000     0.00000
   63     2.00000     8.11230     4.50450     3.39900     0.00000     0.00000
   64     2.00000     8.11230     4.50450     3.39900     0.00000     0.00000
   65     2.00000     8.11230     4.50450     3.39900     0.00000     0.00000
   66     2.00000     8.11230     4.50450     3.39900     0.00000     0.00000
   67     2.00000     8.11230     4.50450     3.39900     0.00000     0.00000
   68     2.00000     8.11230     4.50450     3.39900     0.00000     0.00000
   69     2.00000     8.11230     4.50450     3.39900     0.00000     0.00000
   70     2.00000     8.11230     4.50450     3.39900     0.00000     0.00000
   71     2.00000     8.11230     4.50450     3.39900     0.00000     0.00000
   72     2.00000     8.11230     4.50450     3.39900     0.00000     0.00000
   73     2.00000     8.11230     4.50450     3.39900     0.00000     0.00000
   74     2.00000     8.11230     4.50450     3.39900     0.00000     0.00000
   75     2.00000     8.11230     4.50450     3.39900     0.00000     0.00000
   76     2.00000     8.11230     4.50450     3.39900     0.00000     0.00000
   77     2.00000     8.11230     4.50450     3.39900     0.00000     0.00000
   78     2.00000     8.11230     4.50450     3.39900     0.00000     0.00000
   79     2.00000     8.11230     4.50450     3.39900     0.00000     0.00000
   80     2.00000     8.11230     4.50450     3.39900     0.00000     0.00000
   81     2.00000     8.11230     4.50450     3.39900     0.00000     0.00000
   82     2.00000     8.11230     4.50450     3.39900     0.00000     0.00000
   83     2.00000     8.17485     4.50910     3.37335     0.00000     0.00000
   84     2.00000     8.23740     4.51370     3.34770     0.00000     0.00000
   85     2.00000     8.23740     4.51370     3.34770     0.00000     0.00000
   86     2.00000     8.23740     4.51370     3.34770     0.00000     0.00000
   87     2.00000     8.23740     4.51370     3.34770     0.00000     0.00000
   88     2.00000     8.23740     4.51370     3.34770     0.00000     0.00000
   89     2.00000     8.23740     4.51370     3.34770     0.00000     0.00000
   90     2.00000     8.23740     4.51370     3.34770     0.00000     0.00000
   91     2.00000     8.23740     4.51370     3.34770     0.00000     0.00000
   92     2.00000     8.23740     4.51370     3.34770     0.00000     0.00000
   93     2.00000     8.23740     4.51370     3.34770     0.00000     0.00000
   94     2.00000     8.23740     4.51370     3.34770     0.00000     0.00000
   95     2.00000     8.23740     4.51370     3.34770     0.00000     0.00000
   96     2.00000     8.23740     4.51370     3.34770     0.00000     0.00000
   97     2.00000     8.23740     4.51370     3.34770     0.00000     0.00000
   98     2.00000     8.23740     4.51370     3.34770     0.00000     0.00000
   99     2.00000     8.23740     4.51370     3.34770     0.00000     0.00000
  100     2.00000     8.23740     4.51370     3.34770     0.00000     0.00000
  101     2.00000     8.23740     4.51370     3.34770     0.00000     0.00000
  102     2.00000     8.23740     4.51370     3.34770     0.00000     0.00000
  103     2.00000     8.23740     4.51370     3.34770     0.00000     0.00000
  104     2.00000     8.23740     4.51370     3.34770     0.00000     0.00000
  105     2.00000     8.23740     4.51370     3.34770     0.00000     0.00000
  106     2.00000     8.31395     4.53855     3.34650     0.00000     0.00000
  107     2.00000     8.39050     4.56340     3.34530     0.00000     0.00000
  108     2.00000     8.39050     4.56340     3.34530     0.00000     0.00000
  109     2.00000     8.39050     4.56340     3.34530     0.00000     0.00000
  110     2.00000     8.39050     4.56340     3.34530     0.00000     0.00000
  111     2.00000     8.39050     4.56340     3.34530     0.00000     0.00000
  112     2.00000     8.39050     4.56340     3.34530     0.00000     0.00000
  113     2.00000     8.39050     4.56340     3.34530     0.00000     0.00000
  114     2.00000     8.39050     4.56340     3.34530     0.00000     0.00000
  115     2.00000     8.39050     4.56340     3.34530     0.00000     0.00000
  116     2.00000     8.39050     4.56340     3.34530     0.00000     0.00000
  117     2.00000     8.39050     4.56340     3.34530     0.00000     0.00000
  118     2.00000     8.39050     4.56340     3.34530     0.00000     0.00000
  119     2.00000     8.39050     4.56340     3.34530     0.00000     0.00000
  120     2.00000     8.39050     4.56340     3.34530     0.00000     0.00000
  121     2.00000     8.39050     4.56340     3.34530     0.00000     0.00000
  122     2.00000     8.39050     4.56340     3.34530     0.00000     0.00000
  123     2.00000     8.39050     4.56340     3.34530     0.00000     0.00000
  124     2.00000     8.39050     4.56340     3.34530     0.00000     0.00000
  125     2.00000     8.39050     4.56340     3.34530     0.00000     0.00000
  126     2.00000     8.39050     4.56340     3.34530     0.00000     0.00000
  127     2.00000     8.39050     4.56340     3.34530     0.00000     0.00000
  128     2.00000     8.39050     4.56340     3.34530     0.00000     0.00000
  129     2.00000     8.39050     4.56340     3.34530     0.00000     0.00000
  130     2.00000     8.39050     4.56340     3.34530     0.00000     0.00000
  131     2.00000     8.48155     4.60795     3.36695     0.00000     0.00000
  132     2.00000     8.57260     4.65250     3.38860     0.00000     0.00000
  133     2.00000     8.57260     4.65250     3.38860     0.00000     0.00000
  134     2.00000     8.57260     4.65250     3.38860     0.00000     0.00000
  135     2.00000     8.57260     4.65250     3.38860     0.00000     0.00000
  136     2.00000     8.57260     4.65250     3.38860     0.00000     0.00000
  137     2.00000     8.57260     4.65250     3.38860     0.00000     0.00000
  138     2.00000     8.57260     4.65250     3.38860     0.00000     0.00000
  139     2.00000     8.57260     4.65250     3.38860     0.00000     0.00000
  140     2.00000     8.57260     4.65250     3.38860     0.00000     0.00000
  141     2.00000     8.57260     4.65250     3.38860     0.00000     0.00000
  142     2.00000     8.57260     4.65250     3.38860     0.00000     0.00000
  143     2.00000     8.57260     4.65250     3.38860     0.00000     0.00000
  144     2.00000     8.57260     4.65250     3.38860     0.00000     0.00000
  145     2.00000     8.57260     4.65250     3.38860     0.00000     0.00000
  146     2.00000     8.57260     4.65250     3.38860     0.00000     0.00000
  147     2.00000     8.57260     4.65250     3.38860     0.00000     0.00000
  148     2.00000     8.57260     4.65250     3.38860     0.00000     0.00000
  149     2.00000     8.57260     4.65250     3.38860     0.00000     0.00000
  150     2.00000     8.57260     4.65250     3.38860     0.00000     0.00000
  151     2.00000     8.57260     4.65250     3.38860     0.00000     0.00000
  152     2.00000     8.57260     4.65250     3.38860     0.00000     0.00000
  153     2.00000     8.57260     4.65250     3.38860     0.00000     0.00000
  154     2.00000     8.57260     4.65250     3.38860     0.00000     0.00000
  155     2.00000     8.57260     4.65250     3.38860     0.00000     0.00000
  156     2.00000     8.66395     4.69595     3.41150     0.00000     0.00000
  157     2.00000     8.75530     4.73940     3.43440     0.00000     0.00000
  158     2.00000     8.75530     4.73940     3.43440     0.00000     0.00000
  159     2.00000     8.75530     4.73940     3.43440     0.00000     0.00000
  160     2.00000     8.75530     4.73940     3.43440     0.00000     0.00000
  161     2.00000     8.75530     4.73940     3.43440     0.00000     0.00000
  162     2.00000     8.75530     4.73940     3.43440     0.00000     0.00000
  163     2.00000     8.75530     4.73940     3.43440     0.00000     0.00000
  164     2.00000     8.75530     4.73940     3.43440     0.00000     0.00000
  165     2.00000     8.75530     4.73940     3.43440     0.00000     0.00000
  166     2.00000     8.75530     4.73940     3.43440     0.00000     0.00000
  167     2.00000     8.75530     4.73940     3.43440     0.00000     0.00000
  168     2.00000     8.75530     4.73940     3.43440     0.00000     0.00000
  169     2.00000     8.75530     4.73940     3.43440     0.00000     0.00000
  170     2.00000     8.75530     4.73940     3.43440     0.00000     0.00000
  171     2.00000     8.75530     4.73940     3.43440     0.00000     0.00000
  172     2.00000     8.75530     4.73940     3.43440     0.00000     0.00000
  173     2.00000     8.75530     4.73940     3.43440     0.00000     0.00000
  174     2.00000     8.75530     4.73940     3.43440     0.00000     0.00000
  175     2.00000     8.75530     4.73940     3.43440     0.00000     0.00000
  176     2.00000     8.75530     4.73940     3.43440     0.00000     0.00000
  177     2.00000     8.75530     4.73940     3.43440     0.00000     0.00000
  178     2.00000     8.75530     4.73940     3.43440     0.00000     0.00000
  179     2.00000     8.75530     4.73940     3.43440     0.00000     0.00000
  180     2.00000     8.75530     4.73940     3.43440     0.00000     0.00000
  181     2.00000     8.84665     4.78285     3.45830     0.00000     0.00000
  182     2.00000     8.93800     4.82630     3.48220     0.00000     0.00000
  183     2.00000     8.93800     4.82630     3.48220     0.00000     0.00000
  184     2.00000     8.93800     4.82630     3.48220     0.00000     0.00000
  185     2.00000     8.93800     4.82630     3.48220     0.00000     0.00000
  186     2.00000     8.93800     4.82630     3.48220     0.00000     0.00000
  187     2.00000     8.93800     4.82630     3.48220     0.00000     0.00000
  188     2.00000     8.93800     4.82630     3.48220     0.00000     0.00000
  189     2.00000     8.93800     4.82630     3.48220     0.00000     0.00000
  190     2.00000     8.93800     4.82630     3.48220     0.00000     0.00000
  191     2.00000     8.93800     4.82630     3.48220     0.00000     0.00000
  192     2.00000     8.93800     4.82630     3.48220     0.00000     0.00000
  193     2.00000     8.93800     4.82630     3.48220     0.00000     0.00000
  194     2.00000     8.93800     4.82630     3.48220     0.00000     0.00000
  195     2.00000     8.93800     4.82630     3.48220     0.00000     0.00000
  196     2.00000     8.93800     4.82630     3.48220     0.00000     0.00000
  197     2.00000     8.93800     4.82630     3.48220     0.00000     0.00000
  198     2.00000     8.93800     4.82630     3.48220     0.00000     0.00000
  199     2.00000     8.93800     4.82630     3.48220     0.00000     0.00000
  200     2.00000     8.93800     4.82630     3.48220     0.00000     0.00000


                   LOVE WAVE        MODE #  0
        T = 0.2500E+02 C =    0.3977E+01 U   = 0.3480E+01
        AL= 0.4869E-03 GAMMA= 0.0000E+00 ZREF= 0.0000E+00
    M       UT         TT       DC/DH      DC/DB      DC/DR
    1   0.100E+01  0.000E+00 -0.203E-01  0.728E-01 -0.148E-01
    2   0.997E+00 -0.835E-01 -0.203E-01  0.723E-01 -0.145E-01
    3   0.990E+00 -0.167E+00 -0.203E-01  0.713E-01 -0.139E-01
    4   0.977E+00 -0.249E+00 -0.203E-01  0.698E-01 -0.130E-01
    5   0.959E+00 -0.330E+00 -0.203E-01  0.679E-01 -0.119E-01
    6   0.937E+00 -0.409E+00 -0.203E-01  0.656E-01 -0.105E-01
    7   0.909E+00 -0.486E+00 -0.203E-01  0.629E-01 -0.888E-02
    8   0.877E+00 -0.561E+00 -0.203E-01  0.599E-01 -0.709E-02
    9   0.840E+00 -0.632E+00 -0.203E-01  0.567E-01 -0.515E-02
   10   0.799E+00 -0.701E+00 -0.203E-01  0.533E-01 -0.310E-02
   11   0.754E+00 -0.766E+00 -0.152E-01  0.517E-01  0.521E-03
   12   0.712E+00 -0.806E+00 -0.101E-01  0.496E-01  0.324E-02
   13   0.675E+00 -0.822E+00 -0.101E-01  0.455E-01  0.363E-02
   14   0.636E+00 -0.838E+00 -0.101E-01  0.415E-01  0.401E-02
   15   0.597E+00 -0.852E+00 -0.101E-01  0.377E-01  0.437E-02
   16   0.558E+00 -0.865E+00 -0.101E-01  0.340E-01  0.472E-02
   17   0.517E+00 -0.878E+00 -0.101E-01  0.306E-01  0.504E-02
   18   0.477E+00 -0.889E+00 -0.493E-02  0.280E-01  0.570E-02
   19   0.444E+00 -0.872E+00 -0.221E-04  0.262E-01  0.621E-02
   20   0.419E+00 -0.822E+00 -0.221E-04  0.233E-01  0.553E-02
   21   0.395E+00 -0.776E+00 -0.221E-04  0.207E-01  0.492E-02
   22   0.373E+00 -0.732E+00 -0.221E-04  0.184E-01  0.438E-02
   23   0.351E+00 -0.690E+00 -0.221E-04  0.164E-01  0.389E-02
   24   0.331E+00 -0.651E+00 -0.221E-04  0.146E-01  0.346E-02
   25   0.313E+00 -0.615E+00 -0.221E-04  0.130E-01  0.308E-02
   26   0.295E+00 -0.580E+00 -0.221E-04  0.115E-01  0.274E-02
   27   0.278E+00 -0.547E+00 -0.221E-04  0.103E-01  0.244E-02
   28   0.262E+00 -0.516E+00 -0.221E-04  0.912E-02  0.217E-02
   29   0.247E+00 -0.487E+00 -0.221E-04  0.811E-02  0.193E-02
   30   0.233E+00 -0.460E+00 -0.221E-04  0.722E-02  0.172E-02
   31   0.220E+00 -0.434E+00 -0.221E-04  0.642E-02  0.153E-02
   32   0.207E+00 -0.409E+00 -0.221E-04  0.570E-02  0.136E-02
   33   0.195E+00 -0.386E+00 -0.221E-04  0.507E-02  0.121E-02
   34   0.184E+00 -0.365E+00 -0.221E-04  0.451E-02  0.108E-02
   35   0.173E+00 -0.344E+00 -0.221E-04  0.401E-02  0.958E-03
