


                  RAYLEIGH WAVE      MODE #  0

                         PERIOD          PHASE VEL
                 1    0.2000000000     3.1709583927
                 2    0.2000244170     3.1709583924
                 3    0.2000488400     3.1709583920
                 4    0.2000732690     3.1709583920
                 5    0.2000977040     3.1709583920
                 6    0.2001221449     3.1709583920
                 7    0.2001465917     3.1709583920
                 8    0.2001710446     3.1709583920
                 9    0.2001955034     3.1709583920
                10    0.2002199682     3.1709583920
                11    0.2002444390     3.1709583920
                12    0.2002689158     3.1709583920
                13    0.2002933985     3.1709583920
                14    0.2003178873     3.1709583920
                15    0.2003423820     3.1709583920
                16    0.2003668827     3.1709583920
                17    0.2003913894     3.1709583920
                18    0.2004159021     3.1709583920
                19    0.2004404208     3.1709583920
                20    0.2004649456     3.1709583920
                21    0.2004894763     3.1709583920
                22    0.2005140130     3.1709583920
                23    0.2005385557     3.1709583920
                24    0.2005631044     3.1709583920
                25    0.2005876592     3.1709583920
                26    0.2006122199     3.1709583920
                27    0.2006367867     3.1709583920
                28    0.2006613595     3.1709583920
                29    0.2006859383     3.1709583920
                30    0.2007105231     3.1709583920
                31    0.2007351139     3.1709583920
                32    0.2007597108     3.1709583920
                33    0.2007843137     3.1709583920
                34    0.2008089227     3.1709583920
                35    0.2008335376     3.1709583920
                36    0.2008581586     3.1709583920
                37    0.2008827857     3.1709583920
                38    0.2009074188     3.1709583920
                39    0.2009320579     3.1709583920
                40    0.2009567031     3.1709583920
                41    0.2009813543     3.1709583920
                42    0.2010060115     3.1709583920
                43    0.2010306748     3.1709583920
                44    0.2010553442     3.1709583920
                45    0.2010800196     3.1709583920
                46    0.2011047011     3.1709583920
                47    0.2011293887     3.1709583920
                48    0.2011540823     3.1709583920
                49    0.2011787819     3.1709583920
                50    0.2012034877     3.1709583920
                51    0.2012281995     3.1709583920
                52    0.2012529173     3.1709583920
                53    0.2012776413     3.1709583920
                54    0.2013023713     3.1709583920
                55    0.2013271074     3.1709583920
                56    0.2013518496     3.1709583920
                57    0.2013765978     3.1709583920
                58    0.2014013522     3.1709583920
                59    0.2014261126     3.1709583920
                60    0.2014508791     3.1709583920
                61    0.2014756517     3.1709583920
                62    0.2015004305     3.1709583920
                63    0.2015252153     3.1709583920
                64    0.2015500062     3.1709583920
                65    0.2015748031     3.1709583920
                66    0.2015996063     3.1709583920
                67    0.2016244155     3.1709583920
                68    0.2016492308     3.1709583920
                69    0.2016740522     3.1709583920
                70    0.2016988797     3.1709583920
                71    0.2017237134     3.1709583920
                72    0.2017485531     3.1709583920
                73    0.2017733990     3.1709583920
                74    0.2017982510     3.1709583920
                75    0.2018231091     3.1709583920
                76    0.2018479734     3.1709583920
                77    0.2018728438     3.1709583920
                78    0.2018977203     3.1709583920
                79    0.2019226029     3.1709583920
                80    0.2019474917     3.1709583920
                81    0.2019723866     3.1709583920
                82    0.2019972876     3.1709583920
                83    0.2020221948     3.1709583920
                84    0.2020471082     3.1709583920
                85    0.2020720276     3.1709583920
                86    0.2020969533     3.1709583920
                87    0.2021218850     3.1709583920
                88    0.2021468229     3.1709583920
                89    0.2021717670     3.1709583920
                90    0.2021967173     3.1709583920
                91    0.2022216737     3.1709583920
                92    0.2022466362     3.1709583920
                93    0.2022716049     3.1709583920
                94    0.2022965798     3.1709583920
                95    0.2023215609     3.1709583920
                96    0.2023465481     3.1709583920
                97    0.2023715415     3.1709583920
                98    0.2023965411     3.1709583920
                99    0.2024215468     3.1709583920
               100    0.2024465588     3.1709583920
               101    0.2024715769     3.1709583920
               102    0.2024966012     3.1709583920
               103    0.2025216316     3.1709583920
               104    0.2025466683     3.1709583920
               105    0.2025717112     3.1709583920
               106    0.2025967602     3.1709583920
               107    0.2026218155     3.1709583920
               108    0.2026468769     3.1709583920
               109    0.2026719446     3.1709583920
               110    0.2026970184     3.1709583920
               111    0.2027220985     3.1709583920
               112    0.2027471848     3.1709583920
               113    0.2027722772     3.1709583920
               114    0.2027973759     3.1709583920
               115    0.2028224808     3.1709583920
               116    0.2028475919     3.1709583920
               117    0.2028727093     3.1709583920
               118    0.2028978328     3.1709583920
               119    0.2029229626     3.1709583920
               120    0.2029480986     3.1709583920
               121    0.2029732408     3.1709583920
               122    0.2029983893     3.1709583920
               123    0.2030235440     3.1709583920
               124    0.2030487049     3.1709583920
               125    0.2030738721     3.1709583920
               126    0.2030990455     3.1709583920
               127    0.2031242251     3.1709583920
               128    0.2031494110     3.1709583920
               129    0.2031746032     3.1709583920
               130    0.2031998016     3.1709583920
               131    0.2032250062     3.1709583920
               132    0.2032502171     3.1709583920
               133    0.2032754342     3.1709583920
               134    0.2033006576     3.1709583920
               135    0.2033258873     3.1709583920
               136    0.2033511232     3.1709583920
               137    0.2033763654     3.1709583920
               138    0.2034016139     3.1709583920
               139    0.2034268686     3.1709583920
               140    0.2034521296     3.1709583920
               141    0.2034773969     3.1709583920
               142    0.2035026705     3.1709583920
               143    0.2035279503     3.1709583920
               144    0.2035532364     3.1709583920
               145    0.2035785288     3.1709583920
               146    0.2036038275     3.1709583920
               147    0.2036291325     3.1709583920
               148    0.2036544438     3.1709583920
               149    0.2036797613     3.1709583920
               150    0.2037050852     3.1709583920
               151    0.2037304153     3.1709583920
               152    0.2037557518     3.1709583920
               153    0.2037810945     3.1709583920
               154    0.2038064436     3.1709583920
               155    0.2038317990     3.1709583920
               156    0.2038571606     3.1709583920
               157    0.2038825286     3.1709583920
               158    0.2039079029     3.1709583920
               159    0.2039332835     3.1709583920
               160    0.2039586705     3.1709583920
               161    0.2039840637     3.1709583920
               162    0.2040094633     3.1709583920
               163    0.2040348692     3.1709583920
               164    0.2040602815     3.1709583920
               165    0.2040857000     3.1709583920
               166    0.2041111250     3.1709583920
               167    0.2041365562     3.1709583920
               168    0.2041619938     3.1709583920
               169    0.2041874377     3.1709583920
               170    0.2042128879     3.1709583920
               171    0.2042383446     3.1709583920
               172    0.2042638075     3.1709583920
               173    0.2042892768     3.1709583920
               174    0.2043147525     3.1709583920
               175    0.2043402345     3.1709583920
               176    0.2043657228     3.1709583920
               177    0.2043912176     3.1709583920
               178    0.2044167187     3.1709583920
               179    0.2044422261     3.1709583920
               180    0.2044677399     3.1709583920
               181    0.2044932601     3.1709583920
               182    0.2045187867     3.1709583920
               183    0.2045443196     3.1709583920
               184    0.2045698589     3.1709583920
               185    0.2045954046     3.1709583920
               186    0.2046209567     3.1709583920
               187    0.2046465151     3.1709583920
               188    0.2046720800     3.1709583920
               189    0.2046976512     3.1709583920
               190    0.2047232288     3.1709583920
               191    0.2047488128     3.1709583920
               192    0.2047744032     3.1709583920
               193    0.2048000000     3.1709583920
               194    0.2048256032     3.1709583920
               195    0.2048512128     3.1709583920
               196    0.2048768288     3.1709583920
               197    0.2049024512     3.1709583920
               198    0.2049280801     3.1709583920
               199    0.2049537153     3.1709583920
               200    0.2049793569     3.1709583920
               201    0.2050050050     3.1709583920
               202    0.2050306595     3.1709583920
               203    0.2050563204     3.1709583920
               204    0.2050819877     3.1709583920
               205    0.2051076615     3.1709583920
               206    0.2051333417     3.1709583920
               207    0.2051590283     3.1709583920
               208    0.2051847214     3.1709583920
               209    0.2052104208     3.1709583920
               210    0.2052361268     3.1709583920
               211    0.2052618391     3.1709583920
               212    0.2052875580     3.1709583920
               213    0.2053132832     3.1709583920
               214    0.2053390149     3.1709583920
               215    0.2053647531     3.1709583920
               216    0.2053904977     3.1709583920
               217    0.2054162487     3.1709583920
               218    0.2054420063     3.1709583920
               219    0.2054677703     3.1709583920
               220    0.2054935407     3.1709583920
               221    0.2055193176     3.1709583920
               222    0.2055451010     3.1709583920
               223    0.2055708908     3.1709583920
               224    0.2055966872     3.1709583920
               225    0.2056224900     3.1709583920
               226    0.2056482992     3.1709583920
               227    0.2056741150     3.1709583920
               228    0.2056999372     3.1709583920
               229    0.2057257659     3.1709583920
               230    0.2057516012     3.1709583920
               231    0.2057774429     3.1709583920
               232    0.2058032910     3.1709583920
               233    0.2058291457     3.1709583920
               234    0.2058550069     3.1709583920
               235    0.2058808746     3.1709583920
               236    0.2059067488     3.1709583920
               237    0.2059326295     3.1709583920
               238    0.2059585167     3.1709583920
               239    0.2059844104     3.1709583920
               240    0.2060103106     3.1709583920
               241    0.2060362173     3.1709583920
               242    0.2060621305     3.1709583920
               243    0.2060880503     3.1709583920
               244    0.2061139766     3.1709583920
               245    0.2061399094     3.1709583920
               246    0.2061658487     3.1709583920
               247    0.2061917946     3.1709583920
               248    0.2062177470     3.1709583920
               249    0.2062437059     3.1709583920
               250    0.2062696714     3.1709583920
               251    0.2062956434     3.1709583920
               252    0.2063216220     3.1709583920
               253    0.2063476071     3.1709583920
               254    0.2063735987     3.1709583920
               255    0.2063995969     3.1709583920
               256    0.2064256016     3.1709583920
               257    0.2064516129     3.1709583920
               258    0.2064776307     3.1709583920
               259    0.2065036552     3.1709583920
               260    0.2065296861     3.1709583920
               261    0.2065557237     3.1709583920
               262    0.2065817677     3.1709583920
               263    0.2066078184     3.1709583920
               264    0.2066338756     3.1709583920
