  
 Model:
  LAYER     H(km)       TA          TC          TF          TL          TN        Density     QA(inv)     QB(inv)
    1     1.00000    91.50081    91.50081    26.37531    32.56276    32.56276     2.72000     0.00000     0.00000
    2     1.00000    91.50081    91.50081    26.37531    32.56276    32.56276     2.72000     0.00000     0.00000
    3     1.00000    91.50081    91.50081    26.37531    32.56276    32.56276     2.72000     0.00000     0.00000
    4     1.00000    91.50081    91.50081    26.37531    32.56276    32.56276     2.72000     0.00000     0.00000
    5     1.00000    91.50081    91.50081    26.37531    32.56276    32.56276     2.72000     0.00000     0.00000
    6     1.00000    91.50081    91.50081    26.37531    32.56276    32.56276     2.72000     0.00000     0.00000
    7     1.00000    91.50081    91.50081    26.37531    32.56276    32.56276     2.72000     0.00000     0.00000
    8     1.00000    91.50081    91.50081    26.37531    32.56276    32.56276     2.72000     0.00000     0.00000
    9     1.00000    91.50081    91.50081    26.37531    32.56276    32.56276     2.72000     0.00000     0.00000
   10     1.00000    91.50081    91.50081    26.37531    32.56276    32.56276     2.72000     0.00000     0.00000
   11     1.00000    91.50081    91.50081    26.37531    32.56276    32.56276     2.72000     0.00000     0.00000
   12     1.00000    91.50081    91.50081    26.37531    32.56276    32.56276     2.72000     0.00000     0.00000
   13     1.00000    91.50081    91.50081    26.37531    32.56276    32.56276     2.72000     0.00000     0.00000
   14     1.00000    91.50081    91.50081    26.37531    32.56276    32.56276     2.72000     0.00000     0.00000
   15     1.00000    91.50081    91.50081    26.37531    32.56276    32.56276     2.72000     0.00000     0.00000
   16     1.00000    91.50081    91.50081    26.37531    32.56276    32.56276     2.72000     0.00000     0.00000
   17     1.00000    91.50081    91.50081    26.37531    32.56276    32.56276     2.72000     0.00000     0.00000
   18     1.00000    91.50081    91.50081    26.37531    32.56276    32.56276     2.72000     0.00000     0.00000
   19     1.00000    91.50081    91.50081    26.37531    32.56276    32.56276     2.72000     0.00000     0.00000
   20     1.00000    91.50081    91.50081    26.37531    32.56276    32.56276     2.72000     0.00000     0.00000
   21     1.00000   106.65945   106.65945    31.31128    37.67245    37.67245     2.82000     0.00000     0.00000
   22     1.00000   123.37000   123.37000    36.80660    43.28170    43.28170     2.92000     0.00000     0.00000
   23     1.00000   123.37000   123.37000    36.80660    43.28170    43.28170     2.92000     0.00000     0.00000
   24     1.00000   123.37000   123.37000    36.80660    43.28170    43.28170     2.92000     0.00000     0.00000
   25     1.00000   123.37000   123.37000    36.80660    43.28170    43.28170     2.92000     0.00000     0.00000
   26     1.00000   123.37000   123.37000    36.80660    43.28170    43.28170     2.92000     0.00000     0.00000
   27     1.00000   123.37000   123.37000    36.80660    43.28170    43.28170     2.92000     0.00000     0.00000
   28     1.00000   123.37000   123.37000    36.80660    43.28170    43.28170     2.92000     0.00000     0.00000
   29     1.00000   123.37000   123.37000    36.80660    43.28170    43.28170     2.92000     0.00000     0.00000
   30     1.00000   123.37000   123.37000    36.80660    43.28170    43.28170     2.92000     0.00000     0.00000
   31     1.00000   123.37000   123.37000    36.80660    43.28170    43.28170     2.92000     0.00000     0.00000
   32     1.00000   123.37000   123.37000    36.80660    43.28170    43.28170     2.92000     0.00000     0.00000
   33     1.00000   123.37000   123.37000    36.80660    43.28170    43.28170     2.92000     0.00000     0.00000
   34     1.00000   123.37000   123.37000    36.80660    43.28170    43.28170     2.92000     0.00000     0.00000
   35     1.00000   123.37000   123.37000    36.80660    43.28170    43.28170     2.92000     0.00000     0.00000
   36     1.00000   165.29085   165.29085    56.40482    54.29776    54.29776     3.12630     0.00000     0.00000
   37     1.00000   215.55856   215.55856    81.48658    67.03600    67.03600     3.33260     0.00000     0.00000
   38     1.00000   215.55856   215.55856    81.48658    67.03600    67.03600     3.33260     0.00000     0.00000
   39     1.00000   215.55856   215.55856    81.48658    67.03600    67.03600     3.33260     0.00000     0.00000
   40     1.00000   215.55856   215.55856    81.48658    67.03600    67.03600     3.33260     0.00000     0.00000
   41     1.00000   215.55856   215.55856    81.48658    67.03600    67.03600     3.33260     0.00000     0.00000
   42     1.00000   215.55856   215.55856    81.48658    67.03600    67.03600     3.33260     0.00000     0.00000
